"id","vote_id","voting_choice_id","alternative_ordinal","create_time","update_time"
"770","410","2","1","2018-06-13 12:35:39","2018-06-13 12:35:39"
"771","410","5","0","2018-06-13 12:35:39","2018-06-13 12:35:39"
"772","411","2","1","2018-06-13 12:52:06","2018-06-13 12:52:06"
"773","411","6","0","2018-06-13 12:52:06","2018-06-13 12:52:06"
"774","412","6","1","2018-06-13 13:09:27","2018-06-13 13:09:27"
"775","412","2","0","2018-06-13 13:09:27","2018-06-13 13:09:27"
"776","413","6","0","2018-06-13 13:22:55","2018-06-13 13:22:55"
"777","413","2","1","2018-06-13 13:22:55","2018-06-13 13:22:55"
"778","414","2","1","2018-06-13 13:24:45","2018-06-13 13:24:45"
"779","414","4","0","2018-06-13 13:24:45","2018-06-13 13:24:45"
"780","415","2","1","2018-06-13 13:25:21","2018-06-13 13:25:21"
"781","415","4","0","2018-06-13 13:25:21","2018-06-13 13:25:21"
"782","416","4","0","2018-06-13 13:37:12","2018-06-13 13:37:12"
"783","416","2","1","2018-06-13 13:37:12","2018-06-13 13:37:12"
"784","417","2","0","2018-06-13 14:04:29","2018-06-13 14:04:29"
"785","417","5","1","2018-06-13 14:04:29","2018-06-13 14:04:29"
"786","418","4","1","2018-06-13 14:14:02","2018-06-13 14:14:02"
"787","418","6","0","2018-06-13 14:14:02","2018-06-13 14:14:02"
"788","419","6","0","2018-06-13 14:24:30","2018-06-13 14:24:30"
"789","419","4","1","2018-06-13 14:24:30","2018-06-13 14:24:30"
"790","420","5","1","2018-06-13 14:28:05","2018-06-13 14:28:05"
"791","420","2","0","2018-06-13 14:28:05","2018-06-13 14:28:05"
"792","421","4","0","2018-06-13 14:38:06","2018-06-13 14:38:06"
"793","421","6","1","2018-06-13 14:38:06","2018-06-13 14:38:06"
"794","422","6","0","2018-06-13 15:00:14","2018-06-13 15:00:14"
"795","422","4","1","2018-06-13 15:00:14","2018-06-13 15:00:14"
"796","423","2","1","2018-06-13 15:32:11","2018-06-13 15:32:11"
"797","423","6","0","2018-06-13 15:32:11","2018-06-13 15:32:11"
"798","424","4","0","2018-06-13 15:47:27","2018-06-13 15:47:27"
"799","424","5","1","2018-06-13 15:47:27","2018-06-13 15:47:27"
"800","425","5","1","2018-06-13 16:02:57","2018-06-13 16:02:57"
"801","425","2","0","2018-06-13 16:02:57","2018-06-13 16:02:57"
"802","426","5","1","2018-06-13 16:15:22","2018-06-13 16:15:22"
"803","426","2","0","2018-06-13 16:15:22","2018-06-13 16:15:22"
"804","427","6","1","2018-06-13 16:22:45","2018-06-13 16:22:45"
"805","427","4","0","2018-06-13 16:22:45","2018-06-13 16:22:45"
"806","428","2","1","2018-06-13 18:28:36","2018-06-13 18:28:36"
"807","428","6","0","2018-06-13 18:28:36","2018-06-13 18:28:36"
"808","429","5","0","2018-06-13 18:54:50","2018-06-13 18:54:50"
"809","429","2","1","2018-06-13 18:54:50","2018-06-13 18:54:50"
"810","430","6","1","2018-06-13 19:06:58","2018-06-13 19:06:58"
"811","430","2","0","2018-06-13 19:06:58","2018-06-13 19:06:58"
"812","431","4","0","2018-06-13 19:10:01","2018-06-13 19:10:01"
"813","431","6","1","2018-06-13 19:10:01","2018-06-13 19:10:01"
"814","432","4","1","2018-06-13 19:22:12","2018-06-13 19:22:12"
"815","432","2","0","2018-06-13 19:22:12","2018-06-13 19:22:12"
"816","433","2","0","2018-06-13 19:50:39","2018-06-13 19:50:39"
"817","433","6","1","2018-06-13 19:50:39","2018-06-13 19:50:39"
"818","434","5","0","2018-06-13 19:52:59","2018-06-13 19:52:59"
"819","434","6","1","2018-06-13 19:52:59","2018-06-13 19:52:59"
"820","435","4","1","2018-06-13 19:53:20","2018-06-13 19:53:20"
"821","435","6","0","2018-06-13 19:53:20","2018-06-13 19:53:20"
"822","436","2","0","2018-06-13 20:03:52","2018-06-13 20:03:52"
"823","436","3","1","2018-06-13 20:03:52","2018-06-13 20:03:52"
"824","437","5","0","2018-06-13 20:39:57","2018-06-13 20:39:57"
"825","437","6","1","2018-06-13 20:39:57","2018-06-13 20:39:57"
"826","438","4","1","2018-06-13 23:05:18","2018-06-13 23:05:18"
"827","438","6","0","2018-06-13 23:05:18","2018-06-13 23:05:18"
"828","439","4","0","2018-06-13 23:53:46","2018-06-13 23:53:46"
"829","439","6","1","2018-06-13 23:53:46","2018-06-13 23:53:46"
"830","440","6","0","2018-06-14 00:11:07","2018-06-14 00:11:07"
"831","440","4","1","2018-06-14 00:11:07","2018-06-14 00:11:07"
"832","441","6","0","2018-06-14 00:37:40","2018-06-14 00:37:40"
